signal_date,ticker,market,industry,grade,score,vol_ratio,day_chg_pct,gap_pct,close_strength,rsi,close_price,flags,t5_return_pct,t10_return_pct
2026-03-11,2357,TSE,電腦及週邊設備業,SURGE_ALPHA,85,2.27,9.98,4.71,1.0,57.6,584.0,SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.27x|CLOSE_STRONG:1.00|IND_HOT:99|POCKET_PIVOT|GAP_FULL:4.7%|RS:+5.9%|BREAKOUT_20D:584.00>536.00|RSI_HEALTHY:57.6|BB_SQUEEZE_BREAK:BB:0.059→0.144,1.71,-3.25
2026-03-11,2385,TSE,電子零組件業,SURGE_GAMMA,38,2.52,0.81,-2.42,1.0,66.7,125.0,SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.52x|CLOSE_STRONG:1.00|IND_COLD:19|POCKET_PIVOT|RS:-3.3%|RSI_HEALTHY:66.7|BB_WIDE:0.102,-1.6,-1.6
2026-03-11,2399,TSE,電腦及週邊設備業,SURGE_ALPHA,60,2.48,9.93,2.93,1.0,49.8,24.350000381469727,SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.48x|CLOSE_STRONG:1.00|IND_HOT:96|POCKET_PIVOT|GAP_FULL:2.9%|RS:+5.8%|RSI_WEAK:49.8|BB_WIDE:0.151,26.49,29.57
2026-03-11,2851,TSE,金融保險業,SURGE_ALPHA,66,6.43,7.99,4.09,0.84,48.7,29.049999237060547,SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:6.43x|CLOSE_STRONG:0.84|IND_HOT:100|POCKET_PIVOT|GAP_FULL:4.1%|RS:+3.9%|BREAKOUT_20D:29.05>28.05|RSI_WEAK:48.7|BB_WIDE:0.078,5.16,8.78
2026-03-11,3437,TSE,光電業,SURGE_BETA,52,1.69,9.93,0.0,1.0,36.6,16.049999237060547,SURGE_GATE_PASS|SURGE_DAY1|VOL_MILD:1.69x|CLOSE_STRONG:1.00|IND_HOT:96|POCKET_PIVOT|RS:+5.8%|RSI_WEAK:36.6|BB_SQUEEZE_EXPAND:BB:0.116→0.158,40.19,41.43
2026-03-11,3708,TSE,綠能環保,SURGE_ALPHA,68,3.12,5.26,3.64,0.75,65.7,130.0,SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:3.12x|CLOSE_HEALTHY:0.75|IND_HOT:87|POCKET_PIVOT|GAP_FULL:3.6%|RS:+1.2%|BREAKOUT_20D:130.00>126.50|RSI_HEALTHY:65.7|BB_WIDE:0.234,-4.62,-7.31
2026-03-11,4303,TPEx,塑膠工業,SURGE_BETA,44,2.73,3.96,1.08,0.77,47.6,57.79999923706055,SURGE_GATE_PASS|SURGE_DAY2|VOL_IDEAL:2.73x|CLOSE_HEALTHY:0.77|IND_HOT:96|POCKET_PIVOT|GAP_PARTIAL:1.1%|RS:-0.1%|RSI_WEAK:47.6|BB_WIDE:0.163,1.73,-5.02
2026-03-11,5452,TPEx,其他電子業,SURGE_BETA,48,2.25,9.94,0.96,1.0,56.7,34.29999923706055,SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.25x|CLOSE_STRONG:1.00|IND_HOT:98|GAP_PARTIAL:1.0%|RS:+5.8%|RSI_HEALTHY:56.7|BB_WIDE:0.230,0.58,4.66
2026-03-11,8064,TPEx,光電業,SURGE_ALPHA,55,3.17,9.0,4.11,0.84,49.8,55.70000076293945,SURGE_GATE_PASS|SURGE_DAY2|VOL_EXTREME:3.17x|CLOSE_STRONG:0.84|IND_HOT:87|POCKET_PIVOT|GAP_FULL:4.1%|RS:+4.9%|RSI_WEAK:49.8|BB_WIDE:0.250,20.65,22.08
2026-03-11,8096,TPEx,電子通路業,SURGE_BETA,53,3.49,5.64,1.13,0.71,61.3,74.9000015258789,SURGE_GATE_PASS|SURGE_DAY2|VOL_EXTREME:3.49x|CLOSE_HEALTHY:0.71|IND_HOT:85|POCKET_PIVOT|GAP_PARTIAL:1.1%|RS:+1.5%|RSI_HEALTHY:61.3|BB_WIDE:0.281,18.96,18.83
2026-03-11,8431,TPEx,其他電子業,SURGE_ALPHA,60,2.06,8.63,0.0,0.87,52.0,70.5,SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.06x|CLOSE_STRONG:0.87|IND_HOT:92|POCKET_PIVOT|RS:+4.5%|RSI_WEAK:52.0|BB_SQUEEZE_BREAK:BB:0.119→0.239,3.4,-5.96
2026-03-12,1409,TSE,紡織纖維,SURGE_BETA,48,2.87,3.95,-0.99,0.65,52.1,15.800000190734863,SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.87x|CLOSE_HEALTHY:0.65|IND_HOT:100|POCKET_PIVOT|RS:+5.5%|RSI_WEAK:52.1|BB_WIDE:0.085,5.7,0.0
2026-03-12,1708,TSE,化學工業,SURGE_ALPHA,55,3.6,8.46,2.82,0.84,53.2,38.45000076293945,SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:3.60x|CLOSE_STRONG:0.84|IND_HOT:97|POCKET_PIVOT|GAP_FULL:2.8%|RS:+10.0%|RSI_WEAK:53.2|BB_WIDE:0.133,20.81,11.05
2026-03-12,1711,TSE,化學工業,SURGE_BETA,49,1.58,5.95,-0.18,0.79,61.1,29.399999618530273,SURGE_GATE_PASS|SURGE_DAY1|VOL_MILD:1.58x|CLOSE_HEALTHY:0.79|IND_HOT:94|POCKET_PIVOT|RS:+7.5%|RSI_HEALTHY:61.1|BB_WIDE:0.347,47.11,31.12
2026-03-12,1735,TSE,化學工業,SURGE_BETA,53,2.72,3.35,0.48,0.82,62.9,21.600000381469727,SURGE_GATE_PASS|SURGE_DAY2|VOL_IDEAL:2.72x|CLOSE_STRONG:0.82|IND_HOT:81|RS:+4.9%|RSI_HEALTHY:62.9|BB_SQUEEZE_BREAK:BB:0.167→0.331,46.76,24.07
2026-03-12,1727,TSE,化學工業,SURGE_ALPHA,57,3.1,9.94,-1.99,1.0,71.4,55.29999923706055,SURGE_GATE_PASS|SURGE_DAY2|VOL_EXTREME:3.10x|CLOSE_STRONG:1.00|IND_HOT:100|POCKET_PIVOT|RS:+11.5%|BREAKOUT_20D:55.30>51.90|RSI_HOT:71.4|BB_WIDE:0.322,-1.08,-12.21
2026-03-12,2010,TSE,鋼鐵工業,SURGE_ALPHA,63,1.84,3.7,-0.22,1.0,62.0,23.799999237060547,SURGE_GATE_PASS|SURGE_DAY1|VOL_MILD:1.84x|CLOSE_STRONG:1.00|IND_HOT:98|POCKET_PIVOT|RS:+5.3%|BREAKOUT_20D:23.80>23.20|RSI_HEALTHY:62.0|BB_WIDE:0.077,3.99,7.35
2026-03-12,2399,TSE,電腦及週邊設備業,SURGE_ALPHA,67,3.4,7.39,-1.85,0.9,58.5,26.149999618530273,SURGE_GATE_PASS|SURGE_DAY2|VOL_EXTREME:3.40x|CLOSE_STRONG:0.90|IND_HOT:99|POCKET_PIVOT|RS:+9.0%|BREAKOUT_20D:26.15>25.50|RSI_HEALTHY:58.5|BB_SQUEEZE_EXPAND:BB:0.141→0.192,29.45,11.85
2026-03-12,2636,TSE,航運業,SURGE_BETA,54,2.56,2.66,0.3,0.77,60.4,69.4000015258789,SURGE_GATE_PASS|SURGE_DAY2|VOL_IDEAL:2.56x|CLOSE_HEALTHY:0.77|IND_HOT:96|POCKET_PIVOT|RS:+4.2%|RSI_HEALTHY:60.4|BB_WIDE:0.089,1.73,-1.59
2026-03-12,2897,TSE,金融保險業,SURGE_ALPHA,66,1.9,2.25,1.95,0.56,65.0,9.979999542236328,SURGE_GATE_PASS|SURGE_DAY1|VOL_MILD:1.90x|CLOSE_SOFT:0.56|IND_HOT:97|POCKET_PIVOT|GAP_FULL:1.9%|RS:+3.8%|BREAKOUT_20D:9.98>9.88|RSI_HEALTHY:65.0|BB_WIDE:0.102,-0.8,-0.4
2026-03-12,3010,TSE,電子通路業,SURGE_ALPHA,59,2.28,3.59,1.99,0.5,55.7,130.0,SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.28x|CLOSE_SOFT:0.50|IND_HOT:92|POCKET_PIVOT|GAP_FULL:2.0%|RS:+5.1%|RSI_HEALTHY:55.7|BB_WIDE:0.132,4.23,-4.23
